ID,X_UTM,Y_UTM,LAND_USE
464459,784188,4522130,3
464460,784190,4580291,3
464462,784194,4551210,3
464464,784199,4623413,2
464467,784215,4507091,4
464468,784218,4594332,3
464472,784227,4536171,3
464473,784228,4565251,3
464478,784256,4521132,4
464479,784259,4579293,3
464481,784263,4550212,2
464482,784268,4622415,2
464485,784283,4506093,2
464486,784288,4593334,2
464489,784295,4535173,3
464491,784297,4564253,3
464495,784325,4520134,4
464497,784328,4578295,3
464499,784332,4549214,2
464500,784338,4621417,2
464503,784352,4505094,2
464504,784357,4592336,2
464507,784364,4534175,3
464508,784366,4563255,3
464513,784393,4519136,4
464516,784397,4577297,3
464517,784400,4548216,2
464518,784408,4620419,2
464520,784420,4504096,2
464522,784426,4591338,2
464525,784432,4533177,3
464526,784435,4562257,3
464531,784462,4518137,3
464534,784466,4576298,3
464535,784469,4547218,2
464536,784477,4619421,2
464538,784488,4503098,2
464540,784496,4590340,2
464542,784501,4532179,3
464544,784504,4561259,3
464550,784530,4517139,3
464552,784535,4575300,3
464554,784538,4546220,2
464555,784547,4618423,2
464557,784556,4502100,2
464559,784565,4589342,4
464561,784570,4531181,3
464562,784572,4560261,3
464569,784598,4516141,3
464571,784604,4574302,3
464573,784607,4545222,2
464574,784616,4617425,2
464576,784624,4501102,2
464578,784634,4588344,3
464579,784638,4530182,4
464581,784641,4559263,2
464588,784667,4515143,3
464590,784674,4573304,3
464591,784675,4544224,2
464593,784686,4616427,2
464596,784703,4587346,3
464598,784707,4529184,4
464600,784710,4558265,3
464607,784735,4514145,2
464609,784743,4572306,3
464610,784744,4543226,3
464612,784756,4615429,2
464615,784773,4586348,3
464617,784775,4528186,4
464619,784779,4557267,2
464625,784800,4600389,2
464627,784803,4513147,2
464628,784812,4571308,1
464629,784813,4542228,4
464631,784825,4614431,4
464634,784842,4585350,2
464635,784844,4527188,4
464637,784848,4556269,2
464638,784848,4628473,2
464644,784870,4599391,2
464646,784872,4512149,2
464647,784881,4541230,2
464648,784881,4570310,3
464650,784895,4613433,2
464653,784911,4584352,3
464654,784912,4526190,3
464656,784917,4555271,2
464657,784918,4627475,2
464663,784939,4598393,2
464665,784940,4511151,2
464666,784950,4540232,3
464667,784950,4569312,3
464669,784964,4612435,2
464672,784980,4583354,3
464673,784981,4525192,4
464675,784986,4554273,2
464677,784987,4626477,2
464681,785008,4510153,2
464682,785008,4597395,4
464685,785019,4539233,3
464686,785019,4568314,3
464689,785034,4611437,2
464691,785049,4524194,4
464692,785049,4582356,3
464693,785054,4553275,3
464696,785057,4625479,2
464700,785077,4509155,2
464701,785078,4596397,2
464704,785087,4538235,3
464705,785088,4567316,3
464710,785118,4523196,4
464711,785119,4581358,3
464713,785123,4552277,3
464715,785127,4624481,3
464717,785145,4508157,2
464719,785147,4595399,2
464722,785156,4537237,3
464723,785157,4566318,3
464728,785186,4522198,4
464729,785188,4580360,3
464731,785192,4551279,3
464733,785197,4623483,3
464735,785213,4507159,4
464736,785216,4594401,2
464740,785225,4536239,3
464741,785226,4565320,3
464746,785254,4521200,4
464747,785257,4579362,3
464749,785261,4550281,2
464750,785266,4622485,4
464753,785281,4506161,2
464754,785286,4593403,2
464757,785293,4535241,3
464759,785295,4564322,3
464763,785323,4520202,4
464765,785326,4578364,2
464767,785330,4549283,2
464768,785336,4621487,2
464771,785350,4505163,2
464772,785355,4592405,2
464775,785362,4534243,3
464776,785364,4563324,3
464781,785391,4519204,4
464784,785395,4577366,3
464785,785398,4548285,3
464786,785406,4620489,2
464788,785418,4504165,2
464790,785424,4591407,2
464793,785430,4533245,3
464794,785433,4562326,3
464799,785460,4518206,3
464802,785464,4576368,3
464803,785467,4547287,2
464804,785475,4619491,2
464806,785486,4503167,2
464808,785494,4590409,2
464810,785499,4532247,4
464812,785502,4561328,3
464818,785528,4517208,3
464820,785533,4575370,3
464822,785536,4546289,3
464823,785545,4618493,2
464825,785554,4502169,2
464827,785563,4589411,2
464829,785568,4531249,4
464830,785570,4560330,2
464837,785596,4516210,2
464839,785603,4574372,3
464841,785605,4545290,3
464842,785614,4617495,2
464844,785622,4501170,2
464846,785632,4588413,3
464847,785636,4530251,4
464849,785639,4559332,2
464856,785665,4515212,2
464858,785672,4573373,3
464859,785673,4544292,3
464861,785684,4616497,2
464864,785701,4587415,3
464866,785705,4529253,2
464868,785708,4558334,2
464874,785729,4601457,2
464875,785733,4514214,2
464877,785741,4572375,3
464878,785742,4543294,3
464880,785754,4615499,2
464883,785771,4586417,2
464885,785773,4528255,4
464887,785777,4557336,2
464893,785798,4600459,2
464895,785801,4513216,2
464896,785810,4571377,4
464897,785811,4542296,3
464899,785823,4614501,2
464902,785840,4585419,2
464903,785842,4527257,3
464905,785846,4556338,3
464906,785846,4628543,2
464912,785868,4599461,2
464914,785870,4512217,2
464915,785879,4570379,3
464916,785880,4541298,3
464918,785893,4613503,2
464921,785909,4584421,3
464922,785910,4526259,3
464924,785915,4555340,2
464925,785916,4627545,2
464931,785937,4598463,2
464933,785938,4511219,2
464934,785948,4540300,3
464935,785948,4569381,3
464937,785962,4612505,2
464940,785978,4583423,3
464941,785979,4525261,4
464943,785984,4554342,2
464945,785985,4626546,2
464949,786006,4510221,2
464950,786006,4597465,2
464953,786017,4539302,3
464954,786017,4568383,3
464957,786032,4611507,2
464959,786047,4524263,4
464960,786047,4582425,3
464962,786053,4553344,2
464964,786055,4625548,1
464967,786075,4509223,2
464968,786076,4596467,2
464971,786085,4538304,3
464972,786086,4567385,3
464977,786116,4523265,4
464978,786117,4581427,3
464980,786121,4552346,3
464982,786125,4624550,2
464984,786143,4508225,2
464986,786145,4595469,3
464989,786154,4537306,3
464990,786155,4566387,3
464995,786184,4522267,4
464996,786186,4580429,3
464998,786190,4551348,2
465000,786195,4623552,2
465002,786211,4507227,2
465003,786214,4594471,2
465007,786223,4536308,3
465008,786224,4565389,3
465011,786241,4608512,4
465013,786252,4521268,4
465014,786255,4579431,2
465016,786259,4550349,3
465017,786264,4622554,2
465020,786279,4506229,2
465021,786284,4593473,2
465024,786291,4535310,2
465026,786293,4564391,3
465029,786310,4607514,2
465030,786321,4520270,4
465032,786324,4578433,2
465034,786328,4549351,2
465035,786334,4621556,2
465038,786348,4505231,2
465039,786353,4592475,2
465042,786360,4534312,2
465043,786362,4563393,3
465048,786389,4519272,4
465051,786393,4577435,3
465052,786397,4548353,3
465053,786404,4620558,2
465055,786416,4504233,2
465057,786422,4591477,2
465060,786429,4533314,3
465061,786431,4562395,3
465066,786458,4518274,4
465069,786462,4576437,2
465070,786465,4547355,3
465071,786473,4619560,2
465073,786484,4503235,2
465075,786492,4590479,2
465077,786497,4532316,4
465079,786500,4561397,3
465084,786526,4517276,2
465086,786531,4575439,3
465088,786534,4546357,3
465089,786543,4618562,2
465091,786552,4502237,2
465093,786561,4589480,2
465095,786566,4531318,3
465097,786569,4560399,3
465102,786588,4603522,2
465103,786594,4516278,2
465105,786601,4574441,3
465107,786603,4545359,3
465108,786612,4617564,2
465110,786620,4501239,2
465112,786630,4588482,2
465113,786634,4530320,2
465115,786637,4559401,3
465121,786657,4602524,2
465122,786663,4515280,2
465124,786670,4573443,3
465125,786671,4544361,3
465127,786682,4616566,2
465130,786699,4587484,3
