"ID";"X_UTM";"Y_UTM";"LAND_USE"
484129;877947;4602854;3
484132;877972;4616911;3
484136;877994;4630969;3
484139;878016;4601854;2
484142;878041;4615912;5
484146;878064;4629970;2
484149;878086;4600855;2
484152;878111;4614913;3
484156;878134;4628971;2
484158;878155;4599856;3
484162;878181;4613914;3
484166;878204;4627972;2
484168;878225;4598857;3
484172;878250;4612915;2
484176;878274;4626973;2
484179;878294;4597858;4
484183;878320;4611916;2
484186;878343;4625973;2
484189;878363;4596859;3
484194;878390;4610916;3
484197;878413;4624974;3
484200;878433;4595859;3
484204;878459;4609917;3
484207;878483;4623975;3
484210;878502;4594860;4
484214;878529;4608918;3
484217;878553;4622976;3
484220;878572;4593861;3
484224;878598;4607919;3
484227;878622;4621977;3
484230;878641;4592862;3
484234;878668;4606920;3
484237;878692;4620978;3
484244;878737;4605921;3
484247;878762;4619978;3
484251;878784;4634036;3
484254;878807;4604921;2
484257;878832;4618979;3
484261;878854;4633037;3
484264;878876;4603922;3
484267;878901;4617980;2
484271;878924;4632038;2
484274;878946;4602923;3
484277;878971;4616981;3
484281;878994;4631039;2
484284;879015;4601924;2
484287;879041;4615982;3
484291;879063;4630040;2
484294;879085;4600925;3
484297;879110;4614983;3
484301;879133;4629041;2
484303;879154;4599926;3
484307;879180;4613984;3
484311;879203;4628042;2
484313;879224;4598926;3
484317;879249;4612984;3
484321;879273;4627042;2
484324;879293;4597927;2
484328;879319;4611985;3
484332;879343;4626043;2
484335;879363;4596928;2
484339;879389;4610986;3
484342;879412;4625044;3
484345;879432;4595929;3
484349;879458;4609987;3
484352;879482;4624045;3
484355;879501;4594930;4
484359;879528;4608988;3
484362;879552;4623046;3
484365;879571;4593930;4
484369;879597;4607988;3
484372;879622;4622047;3
484375;879640;4592931;3
484379;879667;4606989;3
484382;879691;4621047;3
484385;879710;4591932;3
484386;879713;4635105;3
484389;879736;4605990;3
484392;879761;4620048;3
484396;879783;4634106;3
484399;879806;4604991;3
484402;879831;4619049;3
484406;879853;4633107;3
484408;879873;4647165;2
484409;879876;4603992;3
484412;879900;4618050;3
484416;879923;4632108;3
484419;879945;4602993;2
484422;879970;4617051;3
484426;879993;4631109;2
484429;880015;4601993;3
484432;880040;4616051;3
484436;880063;4630110;3
484439;880084;4600994;3
484442;880109;4615052;3
484446;880132;4629110;2
484448;880153;4599995;3
484452;880179;4614053;3
484456;880202;4628111;2
484458;880223;4598996;2
484462;880249;4613054;2
484466;880272;4627112;2
484469;880292;4597997;2
484473;880318;4612055;3
484477;880342;4626113;2
484480;880362;4596997;2
484484;880388;4611056;3
484487;880412;4625114;3
484490;880431;4595998;1
484494;880457;4610056;3
484497;880481;4624115;3
484500;880501;4594999;2
484504;880527;4609057;3
484507;880551;4623115;3
484510;880570;4594000;4
484514;880597;4608058;3
484517;880621;4622116;3
484520;880639;4593001;3
484524;880666;4607059;3
484527;880691;4621117;3
484530;880709;4592001;3
484531;880712;4635175;3
484534;880736;4606060;3
484537;880760;4620118;3
484540;880778;4591002;3
484541;880782;4634176;3
484544;880805;4605060;3
484547;880830;4619119;3
484549;880847;4590003;3
484551;880852;4633177;3
484553;880872;4647235;3
484554;880875;4604061;3
484557;880900;4618120;3
484561;880922;4632178;3
484564;880944;4603062;3
484567;880969;4617120;3
484571;880992;4631179;2
484574;881014;4602063;3
484577;881039;4616121;3
484581;881062;4630179;3
484584;881083;4601064;3
484587;881109;4615122;2
484591;881132;4629180;3
484594;881153;4600064;3
484597;881178;4614123;3
484601;881201;4628181;3
484603;881222;4599065;2
484607;881248;4613124;3
484611;881271;4627182;3
484614;881292;4598066;2
484618;881317;4612124;3
484622;881341;4626183;3
484625;881361;4597067;3
484628;881387;4611125;2
484631;881411;4625184;3
484634;881430;4596068;3
484638;881457;4610126;3
484641;881481;4624184;2
484644;881500;4595068;3
484648;881526;4609127;2
484651;881550;4623185;3
484654;881569;4594069;3
484658;881596;4608128;3
484661;881620;4622186;3
484664;881639;4593070;3
484668;881665;4607128;3
484671;881690;4621187;3
484674;881708;4592071;3
484675;881712;4635245;3
484677;881731;4649304;3
484678;881735;4606129;3
484681;881759;4620188;3
484684;881777;4591072;3
484685;881782;4634246;3
484687;881801;4648305;2
484688;881804;4605130;3
484691;881829;4619188;3
484694;881847;4590072;3
484695;881851;4633247;3
484698;881874;4604131;3
484701;881899;4618189;3
484705;881921;4632248;3
484708;881943;4603132;3
484711;881968;4617190;3
484715;881991;4631248;3
484718;882013;4602132;4
484721;882038;4616191;2
484723;882055;4587075;3
484725;882061;4630249;3
484728;882082;4601133;3
484731;882108;4615192;2
484735;882131;4629250;3
484738;882152;4600134;3
484741;882177;4614192;1
484745;882201;4628251;3
484747;882221;4599135;2
484751;882247;4613193;3
484755;882270;4627252;3
484758;882291;4598136;3
484762;882317;4612194;3
484766;882340;4626253;3
484768;882360;4597136;3
484772;882386;4611195;3
484775;882410;4625253;4
484778;882430;4596137;3
484780;882431;4639312;3
484782;882456;4610196;2
484785;882480;4624254;3
484788;882499;4595138;3
484789;882501;4638313;3
484792;882525;4609196;3
484795;882549;4623255;3
484798;882568;4594139;2
484799;882571;4637314;3
484802;882595;4608197;2
484805;882619;4622256;3
484808;882638;4593139;1
484809;882641;4636314;3
484812;882665;4607198;3
484815;882689;4621257;4
484818;882707;4592140;2
484819;882711;4635315;3
484821;882730;4649374;3
484822;882734;4606199;3
484825;882759;4620257;3
484828;882776;4591141;3
484829;882781;4634316;3
484831;882800;4648375;2
484832;882804;4605200;3
484835;882828;4619258;3
484838;882846;4590142;3
484839;882851;4633317;3
484841;882870;4647375;3
484842;882873;4604200;2
484845;882898;4618259;3
484849;882920;4632318;3
484852;882943;4603201;3
484855;882968;4617260;3
484857;882984;4588143;3
484859;882990;4631318;3
484862;883012;4602202;3
484865;883037;4616260;2
484867;883054;4587144;3
484869;883060;4630319;3
484873;883082;4601203;3
484876;883107;4615261;2
484878;883123;4586145;3
484880;883130;4629320;3
484883;883151;4600203;2
484887;883177;4614262;2
484889;883192;4585146;2
484891;883200;4628321;3
484894;883221;4599204;3
484895;883221;4642379;3
484898;883246;4613263;2
484900;883262;4584146;2
484902;883270;4627322;3
484905;883290;4598205;3
484909;883316;4612264;2
484912;883339;4626322;2
484915;883359;4597206;3
484917;883360;4640381;1
484919;883386;4611264;2
484922;883409;4625323;3
484925;883429;4596206;3
484926;883430;4639382;3
484929;883455;4610265;3
484932;883479;4624324;3
484935;883498;4595207;3
484936;883500;4638383;3
484939;883525;4609266;3
484942;883549;4623325;3
484945;883568;4594208;3
484946;883570;4637383;3
484949;883594;4608267;2
484952;883618;4622325;3
484955;883637;4593209;2
484956;883640;4636384;3
484958;883659;4650443;3
484959;883664;4607267;3
484962;883688;4621326;3
484965;883706;4592210;2
484966;883710;4635385;3
484968;883730;4649444;2
484969;883733;4606268;3
484970;883746;4577152;2
484972;883758;4620327;3
484975;883776;4591210;2
484976;883780;4634386;3
484978;883800;4648445;3
484979;883803;4605269;4
484980;883815;4576152;2
484982;883828;4619328;3
484985;883845;4590211;3
484986;883850;4633387;3
484988;883870;4647445;3
484989;883872;4604270;4
484992;883897;4618329;3
484994;883914;4589212;3
484996;883920;4632387;3
484998;883940;4646446;3
484999;883942;4603271;2
485002;883967;4617329;2
485004;883984;4588213;3
485006;883990;4631388;2
485010;884011;4602271;2
485013;884037;4616330;2
485015;884053;4587213;4
485017;884059;4630389;3
485021;884081;4601272;2
485024;884106;4615331;2
485026;884122;4586214;3
485028;884129;4629390;3
485031;884150;4600273;3
485035;884176;4614332;2
485037;884192;4585215;2
485039;884199;4628391;3
485042;884220;4599274;3
485043;884220;4642449;3
485046;884246;4613332;1
485048;884261;4584216;2
485050;884269;4627391;3
485053;884289;4598274;3
485054;884290;4641450;3
485057;884315;4612333;2
485061;884339;4626392;3
485064;884359;4597275;2
485065;884360;4640451;3
485067;884385;4611334;2
485070;884408;4625393;3
485073;884428;4596276;3
485075;884430;4639452;3
485077;884454;4610335;3
485080;884478;4624394;3
485083;884497;4595277;3
485084;884500;4638453;3
485087;884524;4609336;3
485090;884548;4623394;3
485093;884567;4594277;2
485094;884569;4637453;3
485096;884589;4651512;3
485097;884593;4608336;3
485100;884618;4622395;3
485103;884636;4593278;2
485104;884639;4636454;3
485106;884659;4650513;2
485107;884663;4607337;3
485110;884687;4621396;3
485113;884706;4592279;2
485114;884709;4635455;3
485116;884729;4649514;3
485117;884733;4606338;3
485118;884745;4577221;1
485120;884757;4620397;3
485123;884775;4591280;3
485124;884779;4634456;3
485126;884799;4648515;3
485127;884802;4605339;3
485128;884815;4576222;3
485130;884827;4619397;3
485133;884844;4590280;3
485134;884849;4633456;1
485136;884869;4647515;3
485137;884872;4604339;3
485138;884884;4575222;3
485140;884896;4618398;2
485142;884914;4589281;3
485144;884919;4632457;3
485146;884939;4646516;3
485147;884941;4603340;3
485150;884966;4617399;2
485152;884983;4588282;3
485154;884989;4631458;3
485156;885009;4645517;3
485157;885011;4602341;1
485160;885036;4616400;2
485162;885052;4587283;2
485164;885059;4630459;3
485167;885079;4644518;3
485168;885080;4601342;3
485171;885105;4615401;1
485172;885112;4672636;3
485173;885122;4586283;2
485175;885128;4629460;3
485178;885149;4643519;3
485179;885150;4600342;3
485182;885175;4614401;1
485184;885191;4585284;2
485186;885198;4628460;3
485189;885219;4599343;3
485190;885219;4642519;3
485192;885237;4656579;3
485193;885245;4613402;1
485195;885260;4584285;3
485197;885268;4627461;3
485200;885288;4598344;3
485201;885289;4641520;3
485204;885314;4612403;2
485206;885329;4583286;2
485208;885338;4626462;3
485211;885358;4597345;4
485212;885359;4640521;3
485214;885384;4611404;3
485216;885399;4582286;1
485217;885408;4625463;3
485220;885427;4596345;3
485222;885429;4639522;3
485223;885448;4653581;3
485224;885454;4610404;3
485226;885468;4581287;3
485227;885477;4624463;3
485230;885497;4595346;3
485231;885499;4638522;3
